SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-1-2022,Single Family Residential,936 Fremont St,Santa Clara,CA,95050,2000000,3,2,SANTA CLARA,1564,6232,1930,,1279,,Sold,,,https://www.redfin.com/CA/Santa-Clara/936-Fremont-St-95050/home/691070,MLSListings,ML81872994,N,Y,37.351705,-121.9448446
PAST SALE,October-21-2021,Single Family Residential,1208 Manzano Way,Sunnyvale,CA,94089,1430000,4,2,SUNNYVALE,1495,5659,1958,,957,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1208-Manzano-Way-94089/home/583395,MLSListings,ML81863174,N,Y,37.3973404,-121.987802
PAST SALE,June-22-2022,Single Family Residential,3558 Mauricia Ave,Santa Clara,CA,95051,2080000,3,1.5,SANTA CLARA,1064,7236,1959,,1955,,Sold,,,https://www.redfin.com/CA/Santa-Clara/3558-Mauricia-Ave-95051/home/624015,MLSListings,ML81890820,N,Y,37.3266926,-121.9942515
PAST SALE,March-25-2022,Single Family Residential,4386 Laird Cir,Santa Clara,CA,95054,2200000,3,2.5,Santa Clara,2036,3072,2005,,1081,143,Sold,,,https://www.redfin.com/CA/Santa-Clara/4386-Laird-Cir-95054/home/632429,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40980442,N,Y,37.4005807,-121.9482665
PAST SALE,July-13-2023,Single Family Residential,2130 Esperanca Ave,Santa Clara,CA,95054,1630000,4,2.5,SANTA CLARA,1705,2983,2000,,956,90,Sold,,,https://www.redfin.com/CA/Santa-Clara/2130-Esperanca-Ave-95054/home/1522492,MLSListings,ML81930604,N,Y,37.3986563,-121.9619035
PAST SALE,September-26-2022,Single Family Residential,533 Robin Dr,Santa Clara,CA,95050,1740000,3,3,SANTA CLARA,2055,6035,1950,,847,,Sold,,,https://www.redfin.com/CA/Santa-Clara/533-Robin-Dr-95050/home/738040,MLSListings,ML81903718,N,Y,37.3372526,-121.9587981
PAST SALE,December-23-2022,Single Family Residential,590 Saratoga Ave,Santa Clara,CA,95050,1320000,3,2,SANTA CLARA,1390,7200,1947,,950,,Sold,,,https://www.redfin.com/CA/Santa-Clara/590-Saratoga-Ave-95050/home/712516,MLSListings,ML81912351,N,Y,37.3414961,-121.9549322
PAST SALE,May-19-2022,Single Family Residential,708 Flannery St,Santa Clara,CA,95051,1700000,4,2,SANTA CLARA,1370,5188,1955,,1241,,Sold,,,https://www.redfin.com/CA/Santa-Clara/708-Flannery-St-95051/home/1296700,MLSListings,ML81883644,N,Y,37.3354574,-121.9819241
PAST SALE,September-7-2023,Single Family Residential,669 Catala Ct,Santa Clara,CA,95050,1880000,3,3,SANTA CLARA,2070,7410,1947,,908,,Sold,,,https://www.redfin.com/CA/Santa-Clara/669-Catala-Ct-95050/home/712492,MLSListings,ML81936556,N,Y,37.3414167,-121.9571318
PAST SALE,December-22-2021,Single Family Residential,3501 Willett Pl,Santa Clara,CA,95051,1550000,4,4,SANTA CLARA,2004,2096,2005,,773,68,Sold,,,https://www.redfin.com/CA/Santa-Clara/3501-Willett-Pl-95051/home/1051622,MLSListings,ML81867519,N,Y,37.3513673,-121.9936296
